Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
BCJ,Blue Jet Charters,BCJ,,,
BCK,Priority Aviation Company,BCK,,,
BCN,Ocean Air,BCN,,,
BCR,British Charter,BCR,,,
BCS,European Air Transport,BCS,QY,^...P$,
BCT,BCT Aviation,BCT,,,
BCV,Bestfly Cabo Verde,BCV,3B,,
BCY,CityJet,BCY,WX,,
BDA,Blue Dart Aviation,BDA,BZ,,
BDF,Bissau Discovery Flying Club,BDF,,,
BDG,Mississippi State University,BDG,,,
BDI,Benair,BDI,,,
BDJ,Deer Jet Beijing,BDJ,,,
BDM,Air Bandama,BDM,,,
BDN,QinetiQ,BDN,,,
BDR,Badr Airlines,BDR,J4,,
BDS,South Asian Airlines,BDS,,,
BDV,Aberdair Aviation,BDV,,,
BEA,Best Aviation Ltd,BEA,,,
BEC,State Air Company Berkut,BEC,,,
BED,Belgorod Aviation Enterprise,BED,,,
BEF,Balear Express,BEF,,,
BEH,Bel Air Helicopters,BEH,,,
BEK,Bek Air,BEK,Z9,,
BEL,Brussels Airlines,BEL,SN,^99\d\d$,
BER,Fly Air41 Airways,BER,,,
BES,Aero Services Executive,BES,W4,,
BET,BETA - Brazilian Express Transportes Aéreos,BET,,,
BEZ,Kingfisher Air Services,BEZ,,,
BFA,Presidence Du Faso,BFA,,,
BFC,Basler Flight Service,BFC,,,
BFD,Bertelsmann,BFD,,,.*
BFF,Air Nunavut,BFF,,,.*
BFG,Bear Flight,BFG,,,
BFL,Buffalo Airways,BFL,J4,,
BFN,Compangnie Nationale Naganagani,BFN,,,
BFO,Bombardier,BFO,,,
BFR,Burkina Airlines,BFR,,,
BFS,Business Flight Sweden,BFS,,,
